@3; V000712; 1 5 9
9 /+4; V000406070A12; 1 3 +4 5 -7 9
9 /+4c; V00020406070A; 1 2 3 +4 5 -7
9 ; V0004070A12; 1 3 5 -7 9
9 +11; V0004070A1216; 1 3 5 -7 9 +11
9 +5 c ; V000204080A; 1 2 3 +5 -7
9 +5/+4 c ; V00020406080A; 1 2 3 +4 +5 -7
9 +5/+4; V000406080A12; 1 3 +4 +5 -7 9
9 +5; V0004080A12; 1 3 +5 -7 9
9 +5+11; V0004080A1216; 1 3 +5 -7 9 +11
9 -5 c ; V000204060A; 1 -2 3 -5 -7
9 -5; V0004060A12; 1 3 -5 -7 -9
9 c ; V000204070A; 1 2 3 5 -7
9 sus4 c ; V000205070A; 1 2 4 5 6
9 sus4/13; V0005070A1219; 1 4 5 6 9 13
9 sus4/6 c ; V00020507090A; 1 2 4 5 6 -7
9 sus4/6; V000507090A12; 1 4 5 6 -7 9
9 sus4; V0005070A12; 1 4 5 6 9
aug; V000408; 1 3 +5
iA1; V0001; 1 -2
iA1; V0011; 1 -2
iA2; V0003; 1 -3
iA2; V0013; 1 -3
iA3; V0005; 1 4
iA3; V0015; 1 4
iA4; V0006; 1 +4
iA4; V0016; 1 +4
iA5; V0008; 1 +5
iA5; V0018; 1 +5
iA6; V000A; 1 -7
iA6; V001A; 1 -7
iA7; V0000; 1 1
iA7; V0010; 1 1
id1; V000B; 1 7
id1; V001B; 1 7
id2; V0000; 1 1
id2; V0010; 1 1
id3; V0002; 1 2
id3; V0012; 1 2
id4; V0004; 1 3
id4; V0014; 1 3
id5; V0006; 1 +4
id5; V0016; 1 +4
id6; V0007; 1 5
id6; V0017; 1 5
id7; V0009; 1 6
id7; V0019; 1 6
im2; V0001; 1 -2
iM2; V0002; 1 2
im2; V0011; 1 -2
iM2; V0012; 1 2
im3; V0003; 1 -3
iM3; V0004; 1 3
im3; V0013; 1 -3
iM3; V0014; 1 3
im6; V0008; 1 +5
iM6; V0009; 1 6
im6; V0018; 1 +5
iM6; V0019; 1 6
im7; V000A; 1 -7
iM7; V000B; 1 7
im7; V001A; 1 -7
iM7; V001B; 1 7
iP4; V0005; 1 4
iP4; V0015; 1 4
iP5; V0007; 1 5
iP5; V0017; 1 5
iU1; V0000; 1 1
iU1; V0010; 1 1
Ma /+13; V0004071A; 1 3 5 +13
Ma /+6; V0004070A; 1 3 5 +6
Ma /11; V00040715; 1 3 5 11
Ma /-13; V00040718; 1 3 5 -13
Ma /2/11; V0002040715; 1 2 3 5 11
Ma /2/4; V0002040507; 1 2 3 4 5
Ma /2; V00020407; 1 2 3 5
Ma /4; V00040507; 1 3 4 5
Ma /-6; V00040708; 1 3 5 -6
Ma /9/11; V0004071215; 1 3 5 9 11
Ma /9/4; V0004050712; 1 3 4 5 9
Ma /9; V00040712; 1 3 5 +9
Ma ; V000407; 1 3 5
Ma +6+4; V000406070A; 1 3 +4 5 +6
Ma 11 c ; V00020405070A; 1 2 3 4 5 7
Ma 11; V0004070A1215; 1 3 5 7 9 11
Ma 11+5 c ; V00020405080B; 1 2 3 4 +5 7
Ma 11+5; V0004080B1215; 1 3 +5 7 9 11
Ma 11+5+9 c ; V00030405080B; 1 +2 3 4 +5 7
Ma 11+5+9; V0004080B1315; 1 3 +5 7 +9 11
Ma 11+5-9 c ; V00010405080B; 1 -2 3 4 +5 7
Ma 11+5-9; V0004080B1115; 1 3 +5 7 -9 11
Ma 11+9 c ; V00030405070A; 1 +2 3 4 5 7
Ma 11+9; V0004070A1315; 1 3 5 7 +9 11
Ma 11-5 c ; V00020405060B; 1 2 3 4 -5 7
Ma 11-5; V0004060B1215; 1 3 -5 7 9 11
Ma 11-5-9 c ; V00010405060B; 1 -2 3 4 -5 7
Ma 11-5-9/-6; V000406080B1115; 1 3 -5 -6 7 -9 11
Ma 11-5-9; V0004060B1115; 1 3 -5 7 -9 11
Ma 11-5-9-13 c ; V0001040506080B; 1 -2 3 4 -5 -6 7
Ma 11-5-9-13; V0004060B111518; 1 3 -5 7 -9 11 -13
Ma 11-9 c ; V00010405070A; 1 -2 3 4 5 7
Ma 11-9; V0004070A1115; 1 3 5 7 -9 11
Ma 13 c ; V0002040507090A; 1 2 3 4 5 6 7 9
Ma 13; V0004070A121519; 1 3 5 7 9 11 13
Ma 13+11 c ; V0002040607090A; 1 2 3 +4 5 6 7
Ma 13+11; V0004070A121619; 1 3 5 7 9 +11 13
Ma 13+5 c ; V0002030508090B; 1 2 3 4 +5 6 7
Ma 13+5; V0003080B121519; 1 3 +5 7 9 11 13
Ma 13-5 c ; V0002040506090B; 1 2 3 4 -5 6 7
Ma 13-5; V0004060B121519; 1 3 -5 7 9 11 13
Ma 5/11; V000715; 1 5 11
Ma 5/9; V000712; 1 5 9
Ma -5; V000406; 1 3 -5
Ma 5; V0007; 1 5
Ma 5; V0017; 1 5
Ma 6 sus4 ; V00050709; 1 4 5 6
Ma 6/11; V0004070915; 1 3 5 6 11
Ma 6/2; V0002040709; 1 2 3 5 6
Ma 6/4; V0004050709; 1 3 4 5 6
Ma 6/9 ; V0004070912; 1 3 5 6 9
Ma 6/9 sus4 ; V0005070912; 1 4 5 6 9
Ma 6/9 sus4 c ; V0002050709; 1 2 4 5 6
Ma 6/9-5 c ; V0002040609; 1 2 3 -5 6
Ma 6/9-5; V0004060912; 1 3 -5 6 9
Ma 6; V00040709; 1 3 5 6
Ma 6-5; V00040609; 1 3 -5 6
Ma 7 -5/-2; V000104060B; 1 -2 3 -5 7
Ma 7/+11; V0004070A16; 1 3 5 7 +11
Ma 7/+2; V000304070A; 1 +2 3 5 7
Ma 7/+4; V000406070A; 1 3 +4 5 7
Ma 7/11; V0004070B15; 1 3 5 7 11
Ma 7/13; V0004070B19; 1 3 5 7 13
Ma 7/4; V000405070B; 1 3 4 5 7
Ma 7/6; V000407090B; 1 3 5 6 7
Ma 7; V0004070B; 1 3 5 7
Ma 7+5/+2; V000304080B; 1 +2 3 +5 7
Ma 7+5/-2; V000104080B; 1 -2 3 +5 7
Ma 7+5; V0004080B; 1 3 +5 7
Ma 7+5+9; V0004080B13; 1 3 +5 7 +9
Ma 7+5-9; V0004080B11; 1 3 +5 7 -9
Ma 7+9; V0004070A13; 1 3 5 7 +9
Ma 7-5/+2; V000304060B; 1 +2 3 -5 7
Ma 7-5; V0004060B; 1 3 -5 7
Ma 7-5+5 ; V000406080B; 1 3 -5 +5 7
Ma 7-5+9; V0004060B113; 1 3 -5 7 +9
Ma 7-5-9; V0004060B12; 1 3 -5 7 -9
Ma 7-9 c ; V000104070A; 1 -2 3 5 7
Ma 7-9; V0004070A11; 1 3 5 7 -9
Ma 7sus4; V0005070B; 1 4 5 7
Ma 9 /+4; V000406070A12; 1 3 +4 5 7 9
Ma 9 c ; V000204070A; 1 2 3 5 7
Ma 9/-6; V000407080A12; 1 3 5 -6 7 9
Ma 9; V0004070A12; 1 3 5 7 9
Ma 9+11 c ; V00020406070A; 1 2 3 +4 5 7
Ma 9+11; V0004070A1216; 1 3 5 7 9 +11
Ma 9+5 c ; V000204080B; 1 2 3 +5 7
Ma 9+5/+4 c ; V00020406080B; 1 2 3 +4 +5 7
Ma 9+5/+4; V000406080B12; 1 3 +4 +5 7 9
Ma 9+5; V0004080B12; 1 3 +5 7 9
Ma 9+5+11; V0004080B1216; 1 3 +5 7 9 +11
Ma 9-13 c ; V00020407080A; 1 2 3 5 -6 7
Ma 9-13; V0004070A1218; 1 3 5 7 9 -13
Ma 9-5 c ; V000204060B; 1 2 3 -5 7
Ma 9-5; V0004060B12; 1 3 -5 7 9
Ma 9-5+5 c ; V00020406080B; 1 2 3 -5 +5 7
Ma 9-5+5; V000406080B12; 1 3 -5 +5 7 9
Ma 9sus4 c ; V000205070B; 1 2 4 5 7
Ma 9sus4; V0005070B12; 1 4 5 7 9
Ma sus4/9; V00050712; 1 4 5 9
Ma sus4; V000507; 1 4 5
mi /11; V00030715; 1 -3 5 11
mi /2; V00020307; 1 2 -3 5
mi /4; V00030507; 1 -3 4 5
mi /9; V00030712; 1 -3 5 9
mi ; V000307; 1 -3 5
mi 11 c ; V00020305070A; 1 2 -3 4 5 -7
mi 11/-6; V000307080A1215; 1 -3 5 -6 -7 9 11
mi 11/6; V000307090A1215; 1 -3 5 6 -7 9 11
mi 11; V0003070A1215; 1 -3 5 -7 9 11
mi 11+5 c ; V00020305080A; 1 2 -3 4 +5 -7
mi 11+5; V0003080A1215; 1 -3 +5 -7 9 11
mi 11-13 c ; V0002030507080A; 1 2 -3 4 5 -6 -7
mi 11-13; V0003070A121518; 1 -3 5 -7 9 11 -13
mi 11-5 c ; V00020305060A; 1 2 -3 4 -5 -7
mi 11-5; V0003060A1215; 1 -3 -5 -7 9 11
mi 11-5+5 c ; V0002030506080A; 1 2 -3 4 -5 +5 -7
mi 11-5+5; V000306080A1215; 1 -3 -5 +5 -7 9 11
mi 11-5-13 c ; V0002030506080A; 1 -3 -5 -7 9 11 -13
mi 11-5-13; V0003060A121518; 1 -3 -5 -7 9 11 -13
mi 11-5-9-13 c ; V0001030506080A; 1 -2 -3 4 -5 -6 -7
mi 11-5-9-13; V0003060A111518; 1 -3 -5 -7 -9 11 -13
mi 11-9; V0003070A1115; 1 -3 5 -7 -9 11
mi 13 c ; V0002030507090A; 1 2 -3 4 5 6 -7
mi 13; V0003070A121519; 1 -3 5 -7 9 11 13
mi 13+5+11 c ; V0002030608090A; 1 2 -3 +4 +5 6 -7
mi 13+5+11; V0003080A121619; 1 -3 +5 -7 9 +11 13
mi 13-5 c ; V0002030506090A; 1 2 -3 4 -5 6 -7
mi 13-5; V0003060A121519; 1 -3 -5 -7 9 11 13
mi 13-9 c ; V0001030507090A; 1 -2 -3 4 5 6 -7
mi 13-9; V0003070A111519; 1 -3 5 -7 -9 11 13
mi -5; V000306; 1 -3 -5
mi 6/11; V0003070915; 1 -3 5 6 11
mi 6/2; V0002030709; 1 2 -3 5 6
mi 6/4; V0003050709; 1 -3 4 5 6
mi 6/9; V0003070912; 1 -3 5 6 9
mi 6; V00030709; 1 -3 5 6
mi 6-5; V00030609; 1 -3 -5 6
mi 7/11/-2; V000103070A15; 1 -2 -3 5 -7 11
mi 7/11; V0003070A15; 1 -3 5 -7 11
mi 7/13; V0003070A19; 1 -3 5 -7 13
mi 7/2; V000203070A; 1 2 -3 5 -7
mi 7/4/-2; V00010305070A; 1 -2 -3 4 5 -7
mi 7/4/-9; V000305070A11; 1 -3 4 5 -7 -9
mi 7/4; V000305070A; 1 -3 4 5 -7
mi 7/6; V000307090A; 1 -3 5 6 -7
mi 7; V0003070A; 1 -3 5 -7
mi 7+5; V0003080A; 1 -3 +5 -7
mi 7-5/-13 c ; V000306080A; 1 -3 -5 -6 -7
mi 7-5/-13; V0003060A18; 1 -3 -5 -7 -13
mi 7-5; V0003060A; 1 -3 -5 -7
mi 7-9 c ; V000103070A; 1 -2 -3 5 -7
mi 7-9; V0003070A11; 1 -3 5 -7 -9
mi 9/4; V000305070A12; 1 -3 4 5 -7 9
mi 9; V0003070A12; 1 -3 5 -7 9
mi 9+5 c ; V000203080A; 1 2 -3 +5 -7 9
mi 9+5; V0003080A12; 1 -3 +5 -7 9
mi 9-5 c ; V000203060A; 1 -2 -3 -5 -7
mi 9-5/-13 c ; V00020306080A; 1 2 -3 -5 -6 -7 9
mi 9-5/-13; V0003060A1218; 1 -3 -5 -7 9 -13
mi 9-5; V0003060A12; 1 -3 -5 -7 -9
mi 9-5+5 c ; V00020306080A; 1 2 -3 -5 +5 -7
mi 9-5+5; V000306080A12; 1 -3 -5 +5 -7 9
mi M11 c ; V00020305070B; 1 2 -3 4 5 7
mi M11; V0003070B1215; 1 -3 5 7 9 11
mi M11-5-9 c ; V00010305060B; 1 -2 -3 4 -5 7
mi M11-5-9; V0003060B1115; 1 -3 -5 7 -9 11
mi M13 c ; V0002030507090B; 1 2 -3 4 5 6 7
mi M13; V0003070B121519; 1 -3 5 7 9 11 13
mi M7; V0003070B; 1 -3 5 7
mi M7-5-9 c ; V000103060B; 1 -2 -3 -5 7
mi M7-5-9; V0003060B11; 1 -3 -5 7 -9
mi M9 c ; V000203070B; 1 2 -3 5 7
mi M9; V0003070B12; 1 -3 5 7 9
mystic; V000406090A12; 1 3 -5 6 -7 9
mysticC; V00020406090A; 1 2 3 -5 6 -7
ø 7; V0003060A; 1 -3 -5 -7
Q 3; V00050A; 1 4 -7
Q 4 c ; V0003050A; 1 -3 4 -7
Q 4; V00050A03; 1 4 -7 -10
Q 4; V00050A13; 1 4 -7 -3
Q 5 c ; V000305080A; 1 4 -7 -3 -6
Q 5; V00050A1318; 1 4 -7 -10 -13
Q 5; V00050A1318; 1 4 -7 -3 -6
s 2; V000207; 1 2 5
s M7-5; V000205060B; 1 2 4 -5 7
sus2/sus4; V00020507; 1 2 4 5
